model,format_type,prompt_id,prompt_tokens,completion_tokens,total_tokens,system_prompt_tokens,user_message_tokens,tool_call_tokens,overhead_tokens,efficiency_ratio,format_overhead_ratio,success,error_message
cerebras/zai-glm-4.7,xml,simple_translate_1,1473,103,1576,1466,10,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,simple_empty_tool,1467,70,1537,1466,4,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,multi_weather_cities,1481,150,1631,1466,18,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,multi_search_chart,1476,385,1861,1466,13,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,multi_task_email,1491,363,1854,1466,28,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,multi_time_zones,1476,196,1672,1466,13,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,multi_translate_compare,1472,172,1644,1466,9,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,ambig_files,1468,280,1748,1466,5,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,ambig_process,1466,266,1732,1466,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,ambig_send,1466,204,1670,1466,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,ambig_weather,1469,90,1559,1466,6,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,ambig_translate,1465,112,1577,1466,2,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,ambig_calculate,1466,172,1638,1466,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,ambig_partial_email,1470,137,1607,1466,7,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,ambig_search,1465,231,1696,1466,2,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_chart_filter,1497,327,1824,1466,34,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_batch,1493,726,2219,1466,30,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_report,1502,1635,3137,1466,39,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_pipeline,1510,586,2096,1466,47,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_query_report,1497,480,1977,1466,34,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_weird_params,1489,126,1615,1466,26,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_unicode,1484,194,1678,1466,23,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_mixed_types,1508,308,1816,1466,45,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,complex_nested,1494,221,1715,1466,31,0,0,0.0,,False,
cerebras/zai-glm-4.7,unstructured,simple_weather_1,1455,75,1530,1444,7,3,15,0.04,5.0,True,
cerebras/zai-glm-4.7,unstructured,simple_weather_2,1461,119,1580,1444,13,5,15,0.04201680672268908,3.0,True,
cerebras/zai-glm-4.7,unstructured,simple_time_1,1455,141,1596,1444,7,6,15,0.0425531914893617,2.5,True,
cerebras/zai-glm-4.7,unstructured,simple_time_2,1455,182,1637,1444,7,3,15,0.016483516483516484,5.0,True,
cerebras/zai-glm-4.7,unstructured,simple_calc_1,1454,64,1518,1444,6,6,15,0.09375,2.5,True,
cerebras/zai-glm-4.7,unstructured,simple_search_1,1456,146,1602,1444,8,4,20,0.0273972602739726,5.0,True,
cerebras/zai-glm-4.7,unstructured,simple_translate_1,1458,103,1561,1444,10,8,19,0.07766990291262135,2.375,True,
cerebras/zai-glm-4.7,unstructured,simple_empty_tool,1452,82,1534,1444,4,2,11,0.024390243902439025,5.5,True,
cerebras/zai-glm-4.7,unstructured,multi_weather_cities,1466,208,1674,1444,18,7,30,0.03365384615384615,4.285714285714286,True,
cerebras/zai-glm-4.7,unstructured,multi_search_chart,1461,366,1827,1444,13,6,26,0.01639344262295082,4.333333333333333,True,
cerebras/zai-glm-4.7,unstructured,multi_task_email,1476,329,1805,1444,28,39,78,0.11854103343465046,2.0,True,
cerebras/zai-glm-4.7,unstructured,multi_time_zones,1461,178,1639,1444,13,17,45,0.09550561797752809,2.6470588235294117,True,
cerebras/zai-glm-4.7,unstructured,multi_translate_compare,1457,126,1583,1444,9,8,40,0.06349206349206349,5.0,True,
cerebras/zai-glm-4.7,unstructured,ambig_files,1453,311,1764,1444,5,0,0,0.0,,False,
cerebras/zai-glm-4.7,unstructured,ambig_process,1451,287,1738,1444,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,unstructured,ambig_send,1451,210,1661,1444,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,unstructured,ambig_weather,1454,90,1544,1444,6,0,0,0.0,,False,
cerebras/zai-glm-4.7,unstructured,ambig_translate,1450,111,1561,1444,2,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,json,simple_weather_1,1402,31,1433,1386,7,3,22,0.0967741935483871,7.333333333333333,True,
cerebras/zai-glm-4.7,unstructured,ambig_calculate,1451,171,1622,1444,3,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,json,simple_weather_2,1409,31,1440,1386,13,4,21,0.12903225806451613,5.25,True,
groq/moonshotai/kimi-k2-instruct-0905,json,simple_time_1,1403,32,1435,1386,7,6,21,0.1875,3.5,True,
cerebras/zai-glm-4.7,unstructured,ambig_partial_email,1455,176,1631,1444,7,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,json,simple_time_2,1402,29,1431,1386,7,3,21,0.10344827586206896,7.0,True,
cerebras/zai-glm-4.7,unstructured,ambig_search,1450,253,1703,1444,2,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,json,simple_calc_1,1402,31,1433,1386,6,6,20,0.1935483870967742,3.3333333333333335,True,
cerebras/zai-glm-4.7,unstructured,complex_chart_filter,1482,181,1663,1444,34,14,19,0.07734806629834254,1.3571428571428572,True,
groq/moonshotai/kimi-k2-instruct-0905,json,simple_search_1,1404,37,1441,1386,8,4,28,0.10810810810810811,7.0,True,
cerebras/zai-glm-4.7,unstructured,complex_batch,1478,380,1858,1444,30,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,json,simple_translate_1,1406,40,1446,1386,10,8,27,0.2,3.375,True,
cerebras/zai-glm-4.7,unstructured,complex_report,1487,864,2351,1444,39,222,274,0.2569444444444444,1.2342342342342343,False,
groq/moonshotai/kimi-k2-instruct-0905,json,simple_empty_tool,1400,20,1420,1386,4,2,13,0.1,6.5,True,
groq/moonshotai/kimi-k2-instruct-0905,json,multi_weather_cities,1415,60,1475,1386,18,7,42,0.11666666666666667,6.0,True,
cerebras/zai-glm-4.7,unstructured,complex_pipeline,1495,443,1938,1444,47,82,59,0.18510158013544017,0.7195121951219512,False,
groq/moonshotai/kimi-k2-instruct-0905,json,multi_search_chart,1409,339,1748,1386,13,54,186,0.1592920353982301,3.4444444444444446,True,
cerebras/zai-glm-4.7,unstructured,complex_query_report,1482,267,1749,1444,34,14,31,0.052434456928838954,2.2142857142857144,True,
groq/moonshotai/kimi-k2-instruct-0905,json,multi_task_email,1424,139,1563,1386,28,62,68,0.4460431654676259,1.096774193548387,True,
cerebras/zai-glm-4.7,unstructured,complex_weird_params,1474,88,1562,1444,26,12,22,0.13636363636363635,1.8333333333333333,False,
groq/moonshotai/kimi-k2-instruct-0905,json,multi_time_zones,1409,93,1502,1386,13,17,63,0.1827956989247312,3.7058823529411766,True,
cerebras/zai-glm-4.7,unstructured,complex_unicode,1469,153,1622,1444,23,5,24,0.032679738562091505,4.8,True,
groq/moonshotai/kimi-k2-instruct-0905,json,multi_translate_compare,1405,73,1478,1386,9,8,56,0.1095890410958904,7.0,True,
cerebras/zai-glm-4.7,unstructured,complex_mixed_types,1493,192,1685,1444,45,14,50,0.07291666666666667,3.5714285714285716,True,
cerebras/zai-glm-4.7,unstructured,complex_nested,1479,204,1683,1444,31,4,31,0.0196078431372549,7.75,True,
groq/moonshotai/kimi-k2-instruct-0905,json,ambig_files,1401,161,1562,1386,5,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,simple_weather_1,671,52,723,660,7,3,4,0.057692307692307696,1.3333333333333333,True,
groq/moonshotai/kimi-k2-instruct-0905,json,ambig_process,1399,261,1660,1386,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,simple_weather_2,677,87,764,660,13,5,3,0.05747126436781609,0.6,True,
groq/moonshotai/kimi-k2-instruct-0905,json,ambig_send,1399,68,1467,1386,3,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,json,ambig_weather,1401,50,1451,1386,6,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,simple_time_1,671,86,757,660,7,6,4,0.06976744186046512,0.6666666666666666,True,
groq/moonshotai/kimi-k2-instruct-0905,json,ambig_translate,1398,69,1467,1386,2,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,json,ambig_calculate,1399,31,1430,1386,3,6,20,0.1935483870967742,3.3333333333333335,True,
cerebras/zai-glm-4.7,function_sig,simple_time_2,671,67,738,660,7,2,1,0.029850746268656716,0.5,True,
groq/moonshotai/kimi-k2-instruct-0905,json,ambig_partial_email,1404,46,1450,1386,7,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,simple_calc_1,670,114,784,660,6,6,2,0.05263157894736842,0.3333333333333333,True,
cerebras/zai-glm-4.7,function_sig,simple_search_1,672,114,786,660,8,4,7,0.03508771929824561,1.75,True,
groq/moonshotai/kimi-k2-instruct-0905,json,ambig_search,1398,127,1525,1386,2,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,simple_translate_1,674,94,768,660,10,8,6,0.0851063829787234,0.75,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_chart_filter,1430,79,1509,1386,34,14,27,0.17721518987341772,1.9285714285714286,True,
cerebras/zai-glm-4.7,function_sig,simple_empty_tool,668,70,738,660,4,2,1,0.02857142857142857,0.5,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_batch,1426,128,1554,1386,30,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,multi_weather_cities,682,169,851,660,18,7,6,0.04142011834319527,0.8571428571428571,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_report,1435,448,1883,1386,39,153,288,0.34151785714285715,1.8823529411764706,True,
cerebras/zai-glm-4.7,function_sig,multi_search_chart,677,267,944,660,13,7,10,0.026217228464419477,1.4285714285714286,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_pipeline,1443,146,1589,1386,47,23,118,0.15753424657534246,5.130434782608695,True,
cerebras/zai-glm-4.7,function_sig,multi_task_email,692,375,1067,660,28,59,20,0.15733333333333333,0.3389830508474576,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_query_report,1430,195,1625,1386,34,14,41,0.07179487179487179,2.9285714285714284,True,
cerebras/zai-glm-4.7,function_sig,multi_time_zones,677,157,834,660,13,17,12,0.10828025477707007,0.7058823529411765,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_weird_params,1422,46,1468,1386,26,7,34,0.15217391304347827,4.857142857142857,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_unicode,1422,42,1464,1386,23,5,31,0.11904761904761904,6.2,True,
cerebras/zai-glm-4.7,function_sig,multi_translate_compare,673,123,796,660,9,8,14,0.06504065040650407,1.75,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_mixed_types,1441,80,1521,1386,45,14,61,0.175,4.357142857142857,True,
groq/moonshotai/kimi-k2-instruct-0905,json,complex_nested,1427,61,1488,1386,31,4,52,0.06557377049180328,13.0,True,
cerebras/zai-glm-4.7,function_sig,ambig_files,669,336,1005,660,5,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,ambig_process,667,210,877,660,3,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,simple_weather_1,1486,57,1543,1473,7,3,48,0.05263157894736842,16.0,True,
cerebras/zai-glm-4.7,function_sig,ambig_send,667,210,877,660,3,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,simple_weather_2,1493,57,1550,1473,13,4,47,0.07017543859649122,11.75,True,
cerebras/zai-glm-4.7,function_sig,ambig_weather,670,99,769,660,6,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,simple_time_1,1487,58,1545,1473,7,6,47,0.10344827586206896,7.833333333333333,True,
cerebras/zai-glm-4.7,function_sig,ambig_translate,666,110,776,660,2,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,simple_time_2,1486,55,1541,1473,7,3,47,0.05454545454545454,15.666666666666666,True,
cerebras/zai-glm-4.7,function_sig,ambig_calculate,667,144,811,660,3,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,simple_calc_1,1486,57,1543,1473,6,6,46,0.10526315789473684,7.666666666666667,True,
cerebras/zai-glm-4.7,function_sig,ambig_partial_email,671,176,847,660,7,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,simple_search_1,1488,63,1551,1473,8,4,54,0.06349206349206349,13.5,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,simple_translate_1,1490,66,1556,1473,10,8,53,0.12121212121212122,6.625,True,
cerebras/zai-glm-4.7,function_sig,ambig_search,666,309,975,660,2,1,2,0.003236245954692557,2.0,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,simple_empty_tool,1484,46,1530,1473,4,2,39,0.043478260869565216,19.5,True,
cerebras/zai-glm-4.7,function_sig,complex_chart_filter,698,550,1248,660,34,47,74,0.08545454545454545,1.574468085106383,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,multi_weather_cities,1499,225,1724,1473,18,7,94,0.03111111111111111,13.428571428571429,True,
cerebras/zai-glm-4.7,function_sig,complex_batch,694,519,1213,660,30,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,multi_search_chart,1493,62,1555,1473,13,4,53,0.06451612903225806,13.25,True,
cerebras/zai-glm-4.7,function_sig,complex_report,703,1101,1804,660,39,371,329,0.3369663941871026,0.8867924528301887,True,
cerebras/zai-glm-4.7,function_sig,complex_pipeline,711,563,1274,660,47,26,88,0.046181172291296625,3.3846153846153846,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,multi_task_email,1508,191,1699,1473,28,62,120,0.32460732984293195,1.935483870967742,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,multi_time_zones,1493,171,1664,1473,13,17,141,0.09941520467836257,8.294117647058824,True,
cerebras/zai-glm-4.7,function_sig,complex_query_report,698,394,1092,660,34,13,15,0.03299492385786802,1.1538461538461537,False,
cerebras/zai-glm-4.7,function_sig,complex_weird_params,690,181,871,660,26,10,10,0.055248618784530384,1.0,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,multi_translate_compare,1489,125,1614,1473,9,8,108,0.064,13.5,True,
cerebras/zai-glm-4.7,function_sig,complex_unicode,685,146,831,660,23,5,11,0.03424657534246575,2.2,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,ambig_files,1485,133,1618,1473,5,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,ambig_process,1483,203,1686,1473,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,complex_mixed_types,709,264,973,660,45,14,28,0.05303030303030303,2.0,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,ambig_send,1483,70,1553,1473,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,function_sig,complex_nested,695,131,826,660,31,4,20,0.030534351145038167,5.0,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,ambig_weather,1485,41,1526,1473,6,0,0,0.0,,False,
cerebras/gpt-oss-120b,json,simple_weather_1,1461,55,1516,1386,7,3,22,0.05454545454545454,7.333333333333333,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,ambig_translate,1482,93,1575,1473,2,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,ambig_calculate,1483,54,1537,1473,3,0,0,0.0,,False,
cerebras/gpt-oss-120b,json,simple_weather_2,1468,54,1522,1386,13,4,21,0.07407407407407407,5.25,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,ambig_partial_email,1488,69,1557,1473,7,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,ambig_search,1482,90,1572,1473,2,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_chart_filter,1514,72,1586,1473,34,14,53,0.19444444444444445,3.7857142857142856,True,
cerebras/gpt-oss-120b,json,simple_time_1,1462,73,1535,1386,7,6,21,0.0821917808219178,3.5,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_batch,1510,127,1637,1473,30,0,0,0.0,,False,
cerebras/gpt-oss-120b,json,simple_time_2,1461,69,1530,1386,7,3,21,0.043478260869565216,7.0,True,
cerebras/gpt-oss-120b,json,simple_calc_1,1461,61,1522,1386,6,6,20,0.09836065573770492,3.3333333333333335,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_report,1519,241,1760,1473,39,43,191,0.17842323651452283,4.441860465116279,True,
cerebras/gpt-oss-120b,json,simple_search_1,1463,96,1559,1386,8,4,28,0.041666666666666664,7.0,True,
cerebras/gpt-oss-120b,json,simple_translate_1,1465,64,1529,1386,10,8,27,0.125,3.375,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_pipeline,1527,210,1737,1473,47,25,180,0.11904761904761904,7.2,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_query_report,1514,86,1600,1473,34,14,67,0.16279069767441862,4.785714285714286,True,
cerebras/gpt-oss-120b,json,simple_empty_tool,1459,78,1537,1386,4,2,13,0.02564102564102564,6.5,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_weird_params,1506,72,1578,1473,26,7,60,0.09722222222222222,8.571428571428571,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_unicode,1506,68,1574,1473,23,5,57,0.07352941176470588,11.4,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_mixed_types,1525,106,1631,1473,45,14,87,0.1320754716981132,6.214285714285714,True,
groq/moonshotai/kimi-k2-instruct-0905,mcp,complex_nested,1511,87,1598,1473,31,4,78,0.04597701149425287,19.5,True,
cerebras/gpt-oss-120b,json,multi_weather_cities,1473,459,1932,1386,18,14,84,0.030501089324618737,6.0,True,
groq/moonshotai/kimi-k2-instruct-0905,xml,simple_weather_1,1482,36,1518,1466,7,3,31,0.08333333333333333,10.333333333333334,True,
cerebras/gpt-oss-120b,json,multi_search_chart,1468,364,1832,1386,13,6,33,0.016483516483516484,5.5,True,
groq/moonshotai/kimi-k2-instruct-0905,xml,simple_weather_2,1489,40,1529,1466,13,5,29,0.125,5.8,True,
cerebras/gpt-oss-120b,json,multi_task_email,1483,200,1683,1386,28,60,81,0.3,1.35,True,
groq/moonshotai/kimi-k2-instruct-0905,xml,simple_time_1,1483,37,1520,1466,7,6,30,0.16216216216216217,5.0,True,
cerebras/gpt-oss-120b,json,multi_time_zones,1468,294,1762,1386,13,17,63,0.05782312925170068,3.7058823529411766,True,
groq/moonshotai/kimi-k2-instruct-0905,xml,simple_time_2,1482,34,1516,1466,7,3,30,0.08823529411764706,10.0,True,
cerebras/gpt-oss-120b,json,multi_translate_compare,1464,168,1632,1386,9,8,56,0.047619047619047616,7.0,True,
cerebras/gpt-oss-120b,json,ambig_files,1460,198,1658,1386,5,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,xml,simple_calc_1,1482,36,1518,1466,6,6,29,0.16666666666666666,4.833333333333333,True,
cerebras/gpt-oss-120b,json,ambig_process,1458,106,1564,1386,3,0,0,0.0,,False,
groq/moonshotai/kimi-k2-instruct-0905,xml,simple_search_1,1484,56,1540,1466,8,4,39,0.07142857142857142,9.75,True,
groq/moonshotai/kimi-k2-instruct-0905,xml,simple_translate_1,1486,47,1533,1466,10,8,37,0.1702127659574468,4.625,True,
cerebras/gpt-oss-120b,json,ambig_send,1458,134,1592,1386,3,0,0,0.0,,False,
